Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,89.08000183105469,89.56999969482422,88.51000213623047,89.55000305175781,72.26488494873047,5639200
2020-01-03,88.16999816894531,89.38999938964844,87.9000015258789,88.69999694824219,71.5789566040039,5988500
2020-01-06,88.22000122070312,89.62000274658203,87.9800033569336,89.4000015258789,72.14384460449219,6786600
2020-01-07,88.93000030517578,89.54000091552734,88.26000213623047,88.88999938964844,71.73228454589844,7242500
2020-01-08,89.1500015258789,90.05999755859375,88.87000274658203,89.5199966430664,72.24066925048828,7696800
2020-01-09,90.01000213623047,90.2300033569336,89.05000305175781,90.20999908447266,72.7974853515625,7518000
2020-01-10,90.2300033569336,90.29000091552734,88.83000183105469,89.05999755859375,71.86946868896484,8581400
2020-01-13,89.5,89.5,87.91999816894531,88.5199966430664,71.43370056152344,9292200
2020-01-14,87.0999984741211,88.44000244140625,86.7699966430664,88.19999694824219,72.13707733154297,8876900
2020-01-15,88.18000030517578,89.87999725341797,88.18000030517578,89.26000213623047,73.00403594970703,8490100
2020-01-16,89.30999755859375,89.80000305175781,88.91999816894531,89.26000213623047,73.00403594970703,7073200
2020-01-17,89.12999725341797,89.2699966430664,87.79000091552734,88.0,71.97348022460938,10122300
2020-01-21,87.68000030517578,88.52999877929688,87.56999969482422,87.98999786376953,71.96530151367188,13552000
2020-01-22,88.02999877929688,88.16999816894531,87.1500015258789,87.20999908447266,71.32736206054688,6438900
2020-01-23,87.05000305175781,87.06999969482422,84.98999786376953,85.2699966430664,69.74068450927734,12266800
2020-01-24,85.43000030517578,85.4800033569336,82.76000213623047,83.54000091552734,68.32575988769531,13215400
2020-01-27,85.05000305175781,85.93000030517578,84.0,84.0199966430664,68.71834564208984,13832000
2020-01-28,84.98999786376953,84.98999786376953,83.63999938964844,83.7699966430664,68.51386260986328,8614400
2020-01-29,83.80000305175781,84.0,83.12999725341797,83.19999694824219,68.04768371582031,5703200
2020-01-30,82.58000183105469,82.79000091552734,81.18000030517578,81.77999877929688,66.88626861572266,10870000
2020-01-31,81.54000091552734,81.72000122070312,80.41000366210938,81.0199966430664,66.26469421386719,13870100
2020-02-03,81.30999755859375,82.5999984741211,80.91999816894531,82.30000305175781,67.31159973144531,10143700
2020-02-04,83.58999633789062,84.70999908447266,83.58999633789062,84.36000061035156,68.99639129638672,8251500
2020-02-05,85.05999755859375,87.13999938964844,84.87999725341797,86.62999725341797,70.85298919677734,10020600
2020-02-06,87.88999938964844,87.95999908447266,86.22000122070312,87.18000030517578,71.30284118652344,7769700
