portfolio_id,tickers,total_return,CAGR,annualized_volatility,annualized_return,Sharpe,MaxDrawdown,Calmar,DownsideDeviation,NumDays
Portfolio_1,"['PSMT', 'VTR', 'CTRN', 'DRVN', 'SHW', 'ATMU', 'WASH', 'KREF', 'STOK', 'EBAY']",37.23122076321017,0.43959992903429645,0.22008651501935728,0.38878332668514604,1.7665022623078537,-0.3252861362249305,1.3514253455004908,0.12377097022923335,2520
Portfolio_2,"['TNYA', 'WHD', 'STOK', 'WEST', 'GOEV', 'ASLE', 'WVE', 'BSX', 'BFS', 'VAL']",-0.8881430859753783,-0.19672124056026008,0.32889480637558155,-0.1647941559143445,-0.5010542967533447,-0.9296663464856089,-0.21160413228242558,0.20471373138718144,2520
Portfolio_3,"['NWBI', 'NREF', 'PYPL', 'SPNT', 'VTSI', 'TMP', 'KRG', 'DLTR', 'RMR', 'IBOC']",-0.06914827512712662,-0.007139916689950843,0.27059495421759583,0.02943061301511227,0.10876260830586656,-0.6564325912054694,-0.010876846740408085,0.16058237012875118,2520
Portfolio_4,"['LAUR', 'BTBT', 'BYON', 'VRNS', 'ODFL', 'CSX', 'AHR', 'LRCX', 'ALNY', 'ELEV']",9.440386365030008,0.2643626471817866,0.2894659411536378,0.27652778953044166,0.955303371541286,-0.5469306581071939,0.4833567898656244,0.16669230641618726,2520
Portfolio_5,"['XYL', 'SR', 'LMNR', 'LIN', 'UFPI', 'HROW', 'META', 'LXEO', 'KRUS', 'STX']",24.46680948521089,0.3822845502111518,0.2561815659428217,0.3567137199609469,1.392425402070356,-0.2581279750633103,1.4809884520164465,0.14984030738753212,2520
Portfolio_6,"['CLX', 'TRN', 'RSVR', 'EGHT', 'HCKT', 'GFF', 'PDFS', 'IIIV', 'ARES', 'GLDD']",1.0598509787643584,0.074938406842747,0.2472134734433295,0.10282913703915018,0.4159528022760557,-0.4634954460504115,0.16168099920143858,0.1502780379472772,2520
Portfolio_7,"['INO', 'ACRE', 'EXR', 'SAGE', 'CRVL', 'GRPN', 'SRE', 'ALE', 'KOD', 'BLND']",1.1601226207157866,0.08005989603876196,0.3169016924323328,0.12721383618652876,0.40142996779259044,-0.5233342481881098,0.15298042563800418,0.18867054827942378,2520
Portfolio_8,"['OCGN', 'FA', 'MFIN', 'ICUI', 'ASPI', 'XRX', 'PRGS', 'VYX', 'ATLC', 'OPAD']",-0.09608338077800105,-0.010050963856775619,0.3159422044171742,0.039791991765505505,0.1259470599659539,-0.5530620087858168,-0.018173303711172168,0.18956449212350016,2520
Portfolio_9,"['OSIS', 'INSE', 'COO', 'CRAI', 'KODK', 'ACCO', 'ARR', 'RGR', 'KALV', 'MTRX']",-0.56474154460339,-0.07981590656727233,0.28659704568309496,-0.04207401517213648,-0.14680547411734268,-0.7182496873998603,-0.11112557090865482,0.17486888441190918,2520
Portfolio_10,"['KALU', 'KO', 'ASAN', 'VICR', 'NXRT', 'AVIR', 'FSLY', 'TAP', 'J', 'RXO']",0.05802740923386773,0.005656562247469354,0.25917422721806743,0.03921342430841375,0.15130140342010104,-0.6059465505921887,0.009335084492091295,0.15534832168665152,2520
