Holdings details

Mid-Cap ETF (VO)


Equity,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2098876,Yum! Brands Inc,YUM,0.47%,"Hotels, Restaurants & Leisure",US,---,"$831,906,548.04","5,954,524"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.47%,"Hotels, Restaurants & Leisure",US,---,"$821,862,828.48","4,633,868"
,2654364,Cheniere Energy Inc,LNG,0.47%,"Oil, Gas & Consumable Fuels",US,---,"$818,698,220.80","4,552,370"
,BHXCF84,Dow Inc,DOW,0.46%,Chemicals,US,---,"$813,661,951.50","14,894,050"
,2868165,Sysco Corp,SYY,0.46%,Consumer Staples Distribution & Retail,US,---,"$812,567,365.38","10,409,523"
,2656423,Old Dominion Freight Line Inc,ODFL,0.46%,Ground Transportation,US,---,"$811,349,847.36","4,084,524"
,2257019,Cognizant Technology Solutions Corp,CTSH,0.46%,IT Services,US,---,"$810,155,449.98","10,496,961"
,B02HWR9,Extra Space Storage Inc,EXR,0.46%,Specialized REITs,US,---,"$808,727,676.86","4,488,194"
,B4P9W92,Verisk Analytics Inc,VRSK,0.46%,Professional Services,US,---,"$808,232,742.24","3,016,244"
,B6WVMH3,CBRE Group Inc,CBRE,0.46%,Real Estate Management & Development,US,---,"$807,824,661.12","6,489,594"
,2310194,Electronic Arts Inc,EA,0.46%,Entertainment,US,---,"$802,568,746.32","5,595,153"
,2023748,Hess Corp,HES,0.45%,"Oil, Gas & Consumable Fuels",US,---,"$797,510,487.20","5,872,684"
,BYNZGK1,Block Inc,SQ,0.45%,Financial Services,US,---,"$789,363,612.03","11,758,731"
,2497406,Kroger Co/The,KR,0.45%,Consumer Staples Distribution & Retail,US,---,"$788,308,016.10","13,757,557"
,2372763,Gartner Inc,IT,0.45%,IT Services,US,---,"$785,657,393.04","1,550,354"
,2614807,Xcel Energy Inc,XEL,0.44%,Electric Utilities,US,---,"$770,981,493.30","11,806,761"
,2319146,Equifax Inc,EFX,0.44%,Professional Services,US,---,"$770,053,665.08","2,620,478"
,2216850,Consolidated Edison Inc,ED,0.43%,Multi-Utilities,US,---,"$763,343,187.75","7,330,675"
,BDHLTQ5,Baker Hughes Co,BKR,0.43%,Energy Equipment & Services,US,---,"$760,547,522.85","21,038,659"
,2732903,ResMed Inc,RMD,0.43%,Health Care Equipment & Supplies,US,---,"$759,628,692.24","3,111,702"
,2651086,Nucor Corp,NUE,0.43%,Metals & Mining,US,---,"$755,660,256.28","5,026,342"
,BL3LWS8,Vertiv Holdings Co,VRT,0.43%,Electrical Equipment,US,---,"$750,908,236.75","7,547,575"
,B00FWN1,Alnylam Pharmaceuticals Inc,ALNY,0.43%,Biotechnology,US,---,"$747,758,439.75","2,718,825"
,B1YLC43,Discover Financial Services,DFS,0.42%,Consumer Finance,US,---,"$745,947,462.78","5,317,182"
,BYX4D52,HP Inc,HPQ,0.42%,"Technology Hardware, Storage & Peripherals",US,---,"$743,360,733.15","20,723,745"
,BP6H4Y1,GE Vernova Inc,GEV,0.42%,Electrical Equipment,US,---,"$741,954,317.94","2,909,853"
,BVFTF03,Iron Mountain Inc,IRM,0.42%,Specialized REITs,US,---,"$738,200,716.86","6,212,242"
,2224701,Corning Inc,GLW,0.42%,"Electronic Equipment, Instruments & Components",US,---,"$736,384,941.60","16,309,744"
,2476193,Hartford Financial Services Group Inc/The,HIG,0.42%,Insurance,US,---,"$729,809,566.96","6,205,336"
,BKT9Y49,Datadog Inc,DDOG,0.41%,Software,US,---,"$720,183,436.94","6,259,199"
,2965107,Nasdaq Inc,NDAQ,0.41%,Capital Markets,US,---,"$712,411,721.28","9,757,728"
,BK0VN47,DuPont de Nemours Inc,DD,0.40%,Chemicals,US,---,"$709,101,646.89","7,957,599"
,2829515,Edison International,EIX,0.40%,Electric Utilities,US,---,"$708,111,197.82","8,130,798"
,2931205,Vulcan Materials Co,VMC,0.40%,Construction Materials,US,---,"$700,390,352.93","2,796,751"
,2572079,Martin Marietta Materials Inc,MLM,0.40%,Construction Materials,US,---,"$696,671,507.75","1,294,327"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.40%,"Oil, Gas & Consumable Fuels",US,---,"$694,734,244.40","4,029,781"
,B3P2CN8,Xylem Inc/NY,XYL,0.40%,Machinery,US,---,"$694,586,758.32","5,143,944"
,B1W9D46,Delta Air Lines Inc,DAL,0.40%,Passenger Airlines,US,---,"$694,229,920.86","13,668,634"
,2131179,AvalonBay Communities Inc,AVB,0.39%,Residential REITs,US,---,"$678,413,356.00","3,011,824"
,2126249,Mettler-Toledo International Inc,MTD,0.39%,Life Sciences Tools & Services,US,---,"$678,320,308.80","452,304"
,2955733,Westinghouse Air Brake Technologies Corp,WAB,0.38%,Machinery,US,---,"$674,365,245.84","3,709,992"
,2293819,eBay Inc,EBAY,0.38%,Broadline Retail,US,---,"$674,279,876.21","10,356,011"
,BYWH073,VICI Properties Inc,VICI,0.38%,Specialized REITs,US,---,"$667,581,732.11","20,041,481"
,2900335,Tractor Supply Co,TSCO,0.38%,Specialty Retail,US,---,"$664,611,838.27","2,284,439"
,BNKJSM5,Marvell Technology Inc,MRVL,0.38%,Semiconductors & Semiconductor Equipment,US,---,"$661,036,197.84","9,165,782"
,2583576,ON Semiconductor Corp,ON,0.38%,Semiconductors & Semiconductor Equipment,US,---,"$658,694,902.63","9,071,683"
,BMC9P69,Coinbase Global Inc,COIN,0.37%,Capital Markets,US,---,"$656,236,278.51","3,683,203"
,2262864,CoStar Group Inc,CSGP,0.37%,Real Estate Management & Development,US,---,"$654,750,021.52","8,679,083"
,B23FN39,Lululemon Athletica Inc,LULU,0.37%,"Textiles, Apparel & Luxury Goods",US,---,"$654,498,099.45","2,412,007"
,2698470,PPG Industries Inc,PPG,0.37%,Chemicals,US,---,"$654,468,170.04","4,940,874"
,BFH3N85,Veeva Systems Inc,VEEV,0.37%,Health Care Technology,US,---,"$646,628,148.43","3,081,089"
,2754060,Rockwell Automation Inc,ROK,0.37%,Electrical Equipment,US,---,"$645,111,259.22","2,403,007"
,BYY8XK8,WEC Energy Group Inc,WEC,0.37%,Multi-Utilities,US,---,"$643,820,937.06","6,693,917"
,BBM5MD6,CDW Corp/DE,CDW,0.36%,"Electronic Equipment, Instruments & Components",US,---,"$640,170,791.70","2,828,859"
,BDB6Q21,Willis Towers Watson PLC,WTW,0.36%,Insurance,US,---,"$633,450,383.48","2,150,716"
,2708841,PulteGroup Inc,PHM,0.36%,Household Durables,US,---,"$630,805,594.67","4,394,939"
,2340168,M&T Bank Corp,MTB,0.36%,Banks,US,---,"$629,963,416.32","3,536,736"
,2336747,Fifth Third Bancorp,FITB,0.35%,Banks,US,---,"$614,030,089.68","14,333,102"
