iShares Russell 2000 ETF
Fund Holdings as of,"Oct 22, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"314,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EXLS","EXLSERVICE HOLDINGS INC","Industrials","Equity","159,939,807.45","0.23","159,939,807.45","4,054,241.00","39.45","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","159,648,508.00","0.23","159,648,508.00","928,189.00","172.00","United States","NASDAQ","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","157,723,204.80","0.23","157,723,204.80","728,480.00","216.51","United States","NASDAQ","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","156,725,609.40","0.23","156,725,609.40","2,475,918.00","63.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBT","CABOT CORP","Materials","Equity","156,355,816.14","0.23","156,355,816.14","1,409,754.00","110.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","155,880,167.84","0.23","155,880,167.84","4,609,112.00","33.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALTM","ARCADIUM LITHIUM PLC","Materials","Equity","154,940,714.52","0.22","154,940,714.52","27,967,638.00","5.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","154,487,218.14","0.22","154,487,218.14","8,186,922.00","18.87","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","153,563,663.82","0.22","153,563,663.82","1,132,726.00","135.57","United States","NASDAQ","USD","1.00","USD","-"
"ALTR","ALTAIR ENGINEERING INC CLASS A","Information Technology","Equity","152,906,384.00","0.22","152,906,384.00","1,484,528.00","103.00","United States","NASDAQ","USD","1.00","USD","-"
"COOP","MR COOPER GROUP INC","Financials","Equity","152,906,859.28","0.22","152,906,859.28","1,679,188.00","91.06","United States","NASDAQ","USD","1.00","USD","-"
"BECN","BEACON ROOFING SUPPLY INC","Industrials","Equity","152,860,376.00","0.22","152,860,376.00","1,650,760.00","92.60","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","150,956,823.00","0.22","150,956,823.00","758,577.00","199.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","148,305,309.36","0.21","148,305,309.36","5,675,672.00","26.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","148,223,048.92","0.21","148,223,048.92","1,588,331.00","93.32","United States","NASDAQ","USD","1.00","USD","-"
"CHX","CHAMPIONX CORP","Energy","Equity","146,963,698.39","0.21","146,963,698.39","4,970,027.00","29.57","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","146,150,627.04","0.21","146,150,627.04","675,123.00","216.48","United States","NASDAQ","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","145,791,018.00","0.21","145,791,018.00","621,048.00","234.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUR","AURORA INNOVATION INC CLASS A","Information Technology","Equity","144,996,018.53","0.21","144,996,018.53","24,206,347.00","5.99","United States","NASDAQ","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","144,910,277.40","0.21","144,910,277.40","729,659.00","198.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","144,515,976.92","0.21","144,515,976.92","736,988.00","196.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","142,124,741.44","0.21","142,124,741.44","1,486,816.00","95.59","United States","NASDAQ","USD","1.00","USD","-"
